"ID","ID_Location","Outer_Fold","Inner_Fold"
1,1,9,7
2,1,9,7
3,1,9,7
4,2,4,6
5,2,4,6
6,2,4,6
7,3,5,6
8,3,5,6
9,3,5,6
10,4,8,1
11,4,8,1
12,4,8,1
13,5,9,3
14,5,9,3
15,5,9,3
16,6,4,7
17,6,4,7
18,6,4,7
19,7,1,9
20,7,1,9
21,7,1,9
22,8,3,2
23,8,3,2
24,8,3,2
28,10,1,8
29,10,1,8
30,10,1,8
31,11,6,1
32,11,6,1
33,11,6,1
34,12,7,5
35,12,7,5
36,12,7,5
37,13,3,8
38,13,3,8
39,13,3,8
40,14,7,4
41,14,7,4
42,14,7,4
43,15,6,4
44,15,6,4
45,15,6,4
46,16,7,8
47,16,7,8
48,16,7,8
52,18,9,2
53,18,9,2
54,18,9,2
55,19,4,10
56,19,4,10
57,19,4,10
58,20,1,10
59,20,1,10
60,20,1,10
61,21,4,9
62,21,4,9
63,21,4,9
64,22,8,10
65,22,8,10
66,22,8,10
67,23,1,5
68,23,1,5
69,23,1,5
70,24,3,3
71,24,3,3
72,24,3,3
73,25,3,4
74,25,3,4
75,25,3,4
76,26,7,7
77,26,7,7
78,26,7,7
79,27,6,9
80,27,6,9
81,27,6,9
82,28,3,6
83,28,3,6
84,28,3,6
85,29,2,3
86,29,2,3
87,29,2,3
88,30,4,6
89,30,4,6
90,30,4,6
91,31,9,8
92,31,9,8
93,31,9,8
94,32,7,4
95,32,7,4
96,32,7,4
97,33,5,1
98,33,5,1
99,33,5,1
100,34,9,1
101,34,9,1
102,34,9,1
103,35,4,2
104,35,4,2
105,35,4,2
106,36,3,10
107,36,3,10
108,36,3,10
109,37,5,2
110,37,5,2
111,37,5,2
112,38,8,9
113,38,8,9
114,38,8,9
115,39,3,7
116,39,3,7
117,39,3,7
118,40,5,8
119,40,5,8
120,40,5,8
121,41,3,2
122,41,3,2
123,42,6,2
124,42,6,2
125,42,6,2
126,43,4,1
127,43,4,1
128,43,4,1
129,44,6,9
130,44,6,9
131,44,6,9
132,45,7,9
133,45,7,9
134,45,7,9
135,46,4,2
136,46,4,2
137,46,4,2
138,47,1,1
139,47,1,1
140,47,1,1
141,48,9,7
142,48,9,7
143,48,9,7
144,49,2,4
145,49,2,4
146,49,2,4
147,50,6,1
148,50,6,1
149,50,6,1
150,51,3,10
151,51,3,10
152,51,3,10
153,52,1,8
154,52,1,8
155,52,1,8
159,54,7,6
160,54,7,6
161,54,7,6
165,56,5,7
166,56,5,7
167,56,5,7
168,57,8,3
169,57,8,3
170,57,8,3
171,58,1,9
172,58,1,9
173,59,7,1
174,59,7,1
175,59,7,1
176,60,1,10
177,60,1,10
178,60,1,10
179,61,5,8
180,61,5,8
181,61,5,8
182,62,4,8
183,62,4,8
184,62,4,8
188,64,6,6
189,64,6,6
190,64,6,6
191,65,6,9
192,65,6,9
193,65,6,9
194,66,4,6
195,66,4,6
196,66,4,6
197,67,6,5
198,67,6,5
202,69,6,5
203,69,6,5
204,69,6,5
205,70,4,7
206,70,4,7
207,70,4,7
208,71,9,7
209,71,9,7
210,72,9,1
211,72,9,1
212,72,9,1
213,73,9,9
214,73,9,9
215,73,9,9
219,75,7,10
220,75,7,10
221,76,4,7
222,76,4,7
223,76,4,7
224,77,3,10
225,77,3,10
226,77,3,10
227,78,5,1
228,78,5,1
229,78,5,1
230,79,7,3
231,79,7,3
232,80,8,5
233,80,8,5
234,80,8,5
235,81,2,4
236,81,2,4
237,81,2,4
238,82,2,6
239,82,2,6
240,82,2,6
241,83,9,5
242,83,9,5
243,83,9,5
247,85,5,4
248,85,5,4
249,85,5,4
250,86,5,10
251,86,5,10
252,86,5,10
253,87,8,10
254,87,8,10
255,87,8,10
256,88,2,6
257,88,2,6
258,88,2,6
265,91,1,3
266,91,1,3
267,92,1,3
268,92,1,3
272,94,8,1
273,94,8,1
274,94,8,1
275,95,4,6
276,95,4,6
277,95,4,6
278,96,2,1
279,96,2,1
280,96,2,1
281,97,7,7
282,97,7,7
283,97,7,7
284,98,1,8
285,98,1,8
286,98,1,8
287,99,2,10
288,99,2,10
289,99,2,10
290,100,9,4
291,100,9,4
292,100,9,4
293,101,5,7
294,101,5,7
295,101,5,7
296,102,5,2
297,102,5,2
298,102,5,2
299,103,6,2
300,103,6,2
301,103,6,2
302,104,1,2
303,104,1,2
304,104,1,2
305,105,8,3
306,105,8,3
307,105,8,3
308,106,6,6
309,106,6,6
310,106,6,6
311,107,8,9
312,107,8,9
313,107,8,9
314,108,6,2
315,108,6,2
316,108,6,2
317,109,4,3
318,109,4,3
319,109,4,3
320,110,7,1
321,110,7,1
322,110,7,1
323,111,6,3
324,111,6,3
325,111,6,3
326,112,4,4
327,112,4,4
328,112,4,4
332,114,4,9
333,114,4,9
334,115,3,5
335,115,3,5
336,115,3,5
337,116,4,2
338,116,4,2
339,116,4,2
340,117,3,2
341,117,3,2
342,117,3,2
343,118,7,4
344,118,7,4
345,118,7,4
346,119,3,7
347,119,3,7
348,119,3,7
349,120,2,3
350,120,2,3
351,121,2,1
352,121,2,1
353,121,2,1
354,122,4,10
355,122,4,10
356,122,4,10
357,123,5,5
358,123,5,5
359,123,5,5
362,125,9,9
363,125,9,9
364,125,9,9
365,126,7,8
366,126,7,8
367,126,7,8
368,127,7,5
369,127,7,5
370,127,7,5
371,128,5,3
372,128,5,3
373,128,5,3
374,129,5,4
375,129,5,4
376,129,5,4
377,130,5,2
378,130,5,2
379,130,5,2
380,131,3,5
381,131,3,5
382,131,3,5
383,132,2,7
384,132,2,7
385,133,1,4
386,133,1,4
387,133,1,4
391,135,8,6
392,135,8,6
393,135,8,6
394,136,7,8
395,136,7,8
396,136,7,8
397,137,7,8
398,137,7,8
399,137,7,8
400,138,1,5
401,138,1,5
402,139,6,4
403,139,6,4
404,139,6,4
405,140,1,5
406,140,1,5
407,140,1,5
408,141,4,4
409,141,4,4
410,142,2,3
411,142,2,3
412,142,2,3
413,143,8,1
414,143,8,1
415,143,8,1
416,144,8,9
417,144,8,9
418,144,8,9
419,145,3,7
420,145,3,7
421,145,3,7
422,146,5,8
423,146,5,8
424,146,5,8
425,147,8,1
426,147,8,1
427,147,8,1
431,149,4,8
432,149,4,8
433,149,4,8
434,150,6,4
435,150,6,4
436,150,6,4
437,151,3,4
438,151,3,4
439,151,3,4
440,152,6,7
441,152,6,7
442,152,6,7
443,153,2,3
