"ID","ID_Location","Outer_Fold"
1,1,9
2,1,9
3,1,9
4,2,4
5,2,4
6,2,4
7,3,5
8,3,5
9,3,5
10,4,8
11,4,8
12,4,8
13,5,9
14,5,9
15,5,9
16,6,4
17,6,4
18,6,4
19,7,1
20,7,1
21,7,1
22,8,3
23,8,3
24,8,3
25,9,10
26,9,10
27,9,10
28,10,1
29,10,1
30,10,1
31,11,6
32,11,6
33,11,6
34,12,7
35,12,7
36,12,7
37,13,3
38,13,3
39,13,3
40,14,7
41,14,7
42,14,7
43,15,6
44,15,6
45,15,6
46,16,7
47,16,7
48,16,7
49,17,10
50,17,10
51,17,10
52,18,9
53,18,9
54,18,9
55,19,4
56,19,4
57,19,4
58,20,1
59,20,1
60,20,1
61,21,4
62,21,4
63,21,4
64,22,8
65,22,8
66,22,8
67,23,1
68,23,1
69,23,1
70,24,3
71,24,3
72,24,3
73,25,3
74,25,3
75,25,3
76,26,7
77,26,7
78,26,7
79,27,6
80,27,6
81,27,6
82,28,3
83,28,3
84,28,3
85,29,2
86,29,2
87,29,2
88,30,4
89,30,4
90,30,4
91,31,9
92,31,9
93,31,9
94,32,7
95,32,7
96,32,7
97,33,5
98,33,5
99,33,5
100,34,9
101,34,9
102,34,9
103,35,4
104,35,4
105,35,4
106,36,3
107,36,3
108,36,3
109,37,5
110,37,5
111,37,5
112,38,8
113,38,8
114,38,8
115,39,3
116,39,3
117,39,3
118,40,5
119,40,5
120,40,5
121,41,3
122,41,3
123,42,6
124,42,6
125,42,6
126,43,4
127,43,4
128,43,4
129,44,6
130,44,6
131,44,6
132,45,7
133,45,7
134,45,7
135,46,4
136,46,4
137,46,4
138,47,1
139,47,1
140,47,1
141,48,9
142,48,9
143,48,9
144,49,2
145,49,2
146,49,2
147,50,6
148,50,6
149,50,6
150,51,3
151,51,3
152,51,3
153,52,1
154,52,1
155,52,1
156,53,10
157,53,10
158,53,10
159,54,7
160,54,7
161,54,7
162,55,10
163,55,10
164,55,10
165,56,5
166,56,5
167,56,5
168,57,8
169,57,8
170,57,8
171,58,1
172,58,1
173,59,7
174,59,7
175,59,7
176,60,1
177,60,1
178,60,1
179,61,5
180,61,5
181,61,5
182,62,4
183,62,4
184,62,4
185,63,10
186,63,10
187,63,10
188,64,6
189,64,6
190,64,6
191,65,6
192,65,6
193,65,6
194,66,4
195,66,4
196,66,4
197,67,6
198,67,6
199,68,10
200,68,10
201,68,10
202,69,6
203,69,6
204,69,6
205,70,4
206,70,4
207,70,4
208,71,9
209,71,9
210,72,9
211,72,9
212,72,9
213,73,9
214,73,9
215,73,9
216,74,10
217,74,10
218,74,10
219,75,7
220,75,7
221,76,4
222,76,4
223,76,4
224,77,3
225,77,3
226,77,3
227,78,5
228,78,5
229,78,5
230,79,7
231,79,7
232,80,8
233,80,8
234,80,8
235,81,2
236,81,2
237,81,2
238,82,2
239,82,2
240,82,2
241,83,9
242,83,9
243,83,9
244,84,10
245,84,10
246,84,10
247,85,5
248,85,5
249,85,5
250,86,5
251,86,5
252,86,5
253,87,8
254,87,8
255,87,8
256,88,2
257,88,2
258,88,2
259,89,10
260,89,10
261,89,10
262,90,10
263,90,10
264,90,10
265,91,1
266,91,1
267,92,1
268,92,1
269,93,10
270,93,10
271,93,10
272,94,8
273,94,8
