SNV,SG,window_length,polyorder,deriv,bin_size,n_components,Factor
True,True,3.0,1.0,1.0,5,5,0.9
True,True,3.0,1.0,1.0,5,5,1.0
True,True,3.0,1.0,1.0,5,5,1.1
True,True,3.0,1.0,1.0,5,5,1.3
True,True,3.0,1.0,1.0,5,10,0.9
True,True,3.0,1.0,1.0,5,10,1.0
True,True,3.0,1.0,1.0,5,10,1.1
True,True,3.0,1.0,1.0,5,10,1.3
True,True,3.0,1.0,1.0,5,25,0.9
True,True,3.0,1.0,1.0,5,25,1.0
True,True,3.0,1.0,1.0,5,25,1.1
True,True,3.0,1.0,1.0,5,25,1.3
True,True,3.0,2.0,1.0,5,5,0.9
True,True,3.0,2.0,1.0,5,5,1.0
True,True,3.0,2.0,1.0,5,5,1.1
True,True,3.0,2.0,1.0,5,5,1.3
True,True,3.0,2.0,1.0,5,10,0.9
True,True,3.0,2.0,1.0,5,10,1.0
True,True,3.0,2.0,1.0,5,10,1.1
True,True,3.0,2.0,1.0,5,10,1.3
True,True,3.0,2.0,1.0,5,25,0.9
True,True,3.0,2.0,1.0,5,25,1.0
True,True,3.0,2.0,1.0,5,25,1.1
True,True,3.0,2.0,1.0,5,25,1.3
True,True,3.0,2.0,2.0,5,5,0.9
True,True,3.0,2.0,2.0,5,5,1.0
True,True,3.0,2.0,2.0,5,5,1.1
True,True,3.0,2.0,2.0,5,5,1.3
True,True,3.0,2.0,2.0,5,10,0.9
True,True,3.0,2.0,2.0,5,10,1.0
True,True,3.0,2.0,2.0,5,10,1.1
True,True,3.0,2.0,2.0,5,10,1.3
True,True,3.0,2.0,2.0,5,25,0.9
True,True,3.0,2.0,2.0,5,25,1.0
True,True,3.0,2.0,2.0,5,25,1.1
True,True,3.0,2.0,2.0,5,25,1.3
True,True,7.0,1.0,1.0,5,5,0.9
True,True,7.0,1.0,1.0,5,5,1.0
True,True,7.0,1.0,1.0,5,5,1.1
True,True,7.0,1.0,1.0,5,5,1.3
True,True,7.0,1.0,1.0,5,10,0.9
True,True,7.0,1.0,1.0,5,10,1.0
True,True,7.0,1.0,1.0,5,10,1.1
True,True,7.0,1.0,1.0,5,10,1.3
True,True,7.0,1.0,1.0,5,25,0.9
True,True,7.0,1.0,1.0,5,25,1.0
True,True,7.0,1.0,1.0,5,25,1.1
True,True,7.0,1.0,1.0,5,25,1.3
True,True,7.0,2.0,1.0,5,5,0.9
True,True,7.0,2.0,1.0,5,5,1.0
True,True,7.0,2.0,1.0,5,5,1.1
True,True,7.0,2.0,1.0,5,5,1.3
True,True,7.0,2.0,1.0,5,10,0.9
True,True,7.0,2.0,1.0,5,10,1.0
True,True,7.0,2.0,1.0,5,10,1.1
True,True,7.0,2.0,1.0,5,10,1.3
True,True,7.0,2.0,1.0,5,25,0.9
True,True,7.0,2.0,1.0,5,25,1.0
True,True,7.0,2.0,1.0,5,25,1.1
True,True,7.0,2.0,1.0,5,25,1.3
True,True,7.0,2.0,2.0,5,5,0.9
True,True,7.0,2.0,2.0,5,5,1.0
True,True,7.0,2.0,2.0,5,5,1.1
True,True,7.0,2.0,2.0,5,5,1.3
True,True,7.0,2.0,2.0,5,10,0.9
True,True,7.0,2.0,2.0,5,10,1.0
True,True,7.0,2.0,2.0,5,10,1.1
True,True,7.0,2.0,2.0,5,10,1.3
True,True,7.0,2.0,2.0,5,25,0.9
True,True,7.0,2.0,2.0,5,25,1.0
True,True,7.0,2.0,2.0,5,25,1.1
True,True,7.0,2.0,2.0,5,25,1.3
