SNV,SG,window_length,polyorder,deriv,bin_size,max_features,Factor
True,True,3.0,1.0,1.0,5,0.35,0.9
True,True,3.0,1.0,1.0,5,0.35,1.0
True,True,3.0,1.0,1.0,5,0.35,1.1
True,True,3.0,1.0,1.0,5,0.35,1.3
True,True,3.0,1.0,1.0,5,0.5,0.9
True,True,3.0,1.0,1.0,5,0.5,1.0
True,True,3.0,1.0,1.0,5,0.5,1.1
True,True,3.0,1.0,1.0,5,0.5,1.3
True,True,3.0,1.0,1.0,5,0.65,0.9
True,True,3.0,1.0,1.0,5,0.65,1.0
True,True,3.0,1.0,1.0,5,0.65,1.1
True,True,3.0,1.0,1.0,5,0.65,1.3
True,True,3.0,2.0,1.0,5,0.35,0.9
True,True,3.0,2.0,1.0,5,0.35,1.0
True,True,3.0,2.0,1.0,5,0.35,1.1
True,True,3.0,2.0,1.0,5,0.35,1.3
True,True,3.0,2.0,1.0,5,0.5,0.9
True,True,3.0,2.0,1.0,5,0.5,1.0
True,True,3.0,2.0,1.0,5,0.5,1.1
True,True,3.0,2.0,1.0,5,0.5,1.3
True,True,3.0,2.0,1.0,5,0.65,0.9
True,True,3.0,2.0,1.0,5,0.65,1.0
True,True,3.0,2.0,1.0,5,0.65,1.1
True,True,3.0,2.0,1.0,5,0.65,1.3
True,True,3.0,2.0,2.0,5,0.35,0.9
True,True,3.0,2.0,2.0,5,0.35,1.0
True,True,3.0,2.0,2.0,5,0.35,1.1
True,True,3.0,2.0,2.0,5,0.35,1.3
True,True,3.0,2.0,2.0,5,0.5,0.9
True,True,3.0,2.0,2.0,5,0.5,1.0
True,True,3.0,2.0,2.0,5,0.5,1.1
True,True,3.0,2.0,2.0,5,0.5,1.3
True,True,3.0,2.0,2.0,5,0.65,0.9
True,True,3.0,2.0,2.0,5,0.65,1.0
True,True,3.0,2.0,2.0,5,0.65,1.1
True,True,3.0,2.0,2.0,5,0.65,1.3
True,True,7.0,1.0,1.0,5,0.35,0.9
True,True,7.0,1.0,1.0,5,0.35,1.0
True,True,7.0,1.0,1.0,5,0.35,1.1
True,True,7.0,1.0,1.0,5,0.35,1.3
True,True,7.0,1.0,1.0,5,0.5,0.9
True,True,7.0,1.0,1.0,5,0.5,1.0
True,True,7.0,1.0,1.0,5,0.5,1.1
True,True,7.0,1.0,1.0,5,0.5,1.3
True,True,7.0,1.0,1.0,5,0.65,0.9
True,True,7.0,1.0,1.0,5,0.65,1.0
True,True,7.0,1.0,1.0,5,0.65,1.1
True,True,7.0,1.0,1.0,5,0.65,1.3
True,True,7.0,2.0,1.0,5,0.35,0.9
True,True,7.0,2.0,1.0,5,0.35,1.0
True,True,7.0,2.0,1.0,5,0.35,1.1
True,True,7.0,2.0,1.0,5,0.35,1.3
True,True,7.0,2.0,1.0,5,0.5,0.9
