SNV,SG,window_length,polyorder,deriv,bin_size,ST,ABS
True,True,3.0,1.0,1.0,5,0.9,True
True,True,3.0,1.0,1.0,5,0.9,False
True,True,3.0,1.0,1.0,5,1.0,True
True,True,3.0,1.0,1.0,5,1.0,False
True,True,3.0,1.0,1.0,5,1.1,True
True,True,3.0,1.0,1.0,5,1.1,False
True,True,3.0,1.0,1.0,5,1.2,True
True,True,3.0,1.0,1.0,5,1.2,False
True,True,3.0,1.0,1.0,5,1.3,True
True,True,3.0,1.0,1.0,5,1.3,False
True,True,3.0,1.0,1.0,5,1.4,True
True,True,3.0,1.0,1.0,5,1.4,False
True,True,3.0,2.0,1.0,5,0.9,True
True,True,3.0,2.0,1.0,5,0.9,False
True,True,3.0,2.0,1.0,5,1.0,True
True,True,3.0,2.0,1.0,5,1.0,False
True,True,3.0,2.0,1.0,5,1.1,True
True,True,3.0,2.0,1.0,5,1.1,False
True,True,3.0,2.0,1.0,5,1.2,True
True,True,3.0,2.0,1.0,5,1.2,False
True,True,3.0,2.0,1.0,5,1.3,True
True,True,3.0,2.0,1.0,5,1.3,False
True,True,3.0,2.0,1.0,5,1.4,True
True,True,3.0,2.0,1.0,5,1.4,False
True,True,3.0,2.0,2.0,5,0.9,True
True,True,3.0,2.0,2.0,5,0.9,False
True,True,3.0,2.0,2.0,5,1.0,True
True,True,3.0,2.0,2.0,5,1.0,False
True,True,3.0,2.0,2.0,5,1.1,True
True,True,3.0,2.0,2.0,5,1.1,False
True,True,3.0,2.0,2.0,5,1.2,True
True,True,3.0,2.0,2.0,5,1.2,False
True,True,3.0,2.0,2.0,5,1.3,True
True,True,3.0,2.0,2.0,5,1.3,False
True,True,3.0,2.0,2.0,5,1.4,True
True,True,3.0,2.0,2.0,5,1.4,False
True,True,7.0,1.0,1.0,5,0.9,True
True,True,7.0,1.0,1.0,5,0.9,False
True,True,7.0,1.0,1.0,5,1.0,True
True,True,7.0,1.0,1.0,5,1.0,False
True,True,7.0,1.0,1.0,5,1.1,True
True,True,7.0,1.0,1.0,5,1.1,False
True,True,7.0,1.0,1.0,5,1.2,True
True,True,7.0,1.0,1.0,5,1.2,False
True,True,7.0,1.0,1.0,5,1.3,True
True,True,7.0,1.0,1.0,5,1.3,False
True,True,7.0,1.0,1.0,5,1.4,True
True,True,7.0,1.0,1.0,5,1.4,False
True,True,7.0,2.0,1.0,5,0.9,True
True,True,7.0,2.0,1.0,5,0.9,False
True,True,7.0,2.0,1.0,5,1.0,True
True,True,7.0,2.0,1.0,5,1.0,False
True,True,7.0,2.0,1.0,5,1.1,True
True,True,7.0,2.0,1.0,5,1.1,False
True,True,7.0,2.0,1.0,5,1.2,True
True,True,7.0,2.0,1.0,5,1.2,False
True,True,7.0,2.0,1.0,5,1.3,True
True,True,7.0,2.0,1.0,5,1.3,False
True,True,7.0,2.0,1.0,5,1.4,True
True,True,7.0,2.0,1.0,5,1.4,False
True,True,7.0,2.0,2.0,5,0.9,True
True,True,7.0,2.0,2.0,5,0.9,False
True,True,7.0,2.0,2.0,5,1.0,True
True,True,7.0,2.0,2.0,5,1.0,False
True,True,7.0,2.0,2.0,5,1.1,True
True,True,7.0,2.0,2.0,5,1.1,False
True,True,7.0,2.0,2.0,5,1.2,True
True,True,7.0,2.0,2.0,5,1.2,False
True,True,7.0,2.0,2.0,5,1.3,True
True,True,7.0,2.0,2.0,5,1.3,False
True,True,7.0,2.0,2.0,5,1.4,True
True,True,7.0,2.0,2.0,5,1.4,False
True,True,13.0,1.0,1.0,5,0.9,True
True,True,13.0,1.0,1.0,5,0.9,False
True,True,13.0,1.0,1.0,5,1.0,True
True,True,13.0,1.0,1.0,5,1.0,False
True,True,13.0,1.0,1.0,5,1.1,True
True,True,13.0,1.0,1.0,5,1.1,False
True,True,13.0,1.0,1.0,5,1.2,True
True,True,13.0,1.0,1.0,5,1.2,False
True,True,13.0,1.0,1.0,5,1.3,True
